workload,workload_code,transport,transport_code,condition,condition_code,sample_id,input_tokens,upload_kib,download_kib,total_kib,latency_seconds
qa,0,http3,1,longllmlingua_2x,1,conv-26::52,13993.0,49.5302734375,6.7490234375,56.279296875,2.734355
qa,0,http3,1,longllmlingua_4x,2,conv-26::52,7508.0,26.3779296875,6.6015625,32.9794921875,1.656755
qa,0,http3,1,no_compression,0,conv-26::52,33258.0,112.314453125,9.1943359375,121.5087890625,6.421958
qa,0,http3,1,longllmlingua_2x,1,conv-26::55,13565.0,47.7060546875,2.16015625,49.8662109375,2.338461
qa,0,http3,1,longllmlingua_4x,2,conv-26::55,7783.0,29.16796875,15.1318359375,44.2998046875,1.942084
qa,0,http3,1,no_compression,0,conv-26::55,33262.0,110.9208984375,2.9013671875,113.822265625,6.046077
qa,0,http3,1,longllmlingua_2x,1,conv-26::62,13347.0,47.6171875,5.2744140625,52.8916015625,2.498202
qa,0,http3,1,longllmlingua_4x,2,conv-26::62,7779.0,27.388671875,5.0673828125,32.4560546875,1.5829
qa,0,http3,1,no_compression,0,conv-26::62,33262.0,111.505859375,4.763671875,116.26953125,6.096766
qa,0,http3,1,longllmlingua_2x,1,conv-26::66,13955.0,52.7890625,12.0859375,64.875,3.227168
qa,0,http3,1,longllmlingua_4x,2,conv-26::66,7378.0,29.12890625,10.7197265625,39.8486328125,1.998681
qa,0,http3,1,no_compression,0,conv-26::66,33265.0,112.587890625,9.826171875,122.4140625,6.63687
qa,0,http3,1,longllmlingua_2x,1,conv-30::27,10872.0,38.5263671875,6.8701171875,45.396484375,2.23668
qa,0,http3,1,longllmlingua_4x,2,conv-30::27,5946.0,20.822265625,6.4287109375,27.2509765625,1.424402
qa,0,http3,1,no_compression,0,conv-30::27,25419.0,83.501953125,6.4248046875,89.9267578125,4.822589
qa,0,http3,1,longllmlingua_2x,1,conv-30::77,10873.0,38.150390625,4.8544921875,43.0048828125,2.091006
qa,0,http3,1,longllmlingua_4x,2,conv-30::77,5814.0,20.75,4.8671875,25.6171875,1.272167
qa,0,http3,1,no_compression,0,conv-30::77,25419.0,83.29296875,5.3740234375,88.6669921875,4.748645
qa,0,http3,1,longllmlingua_2x,1,conv-41::53,21965.0,75.1083984375,5.138671875,80.2470703125,3.984406
qa,0,http3,1,longllmlingua_4x,2,conv-41::53,10538.0,37.7822265625,4.830078125,42.6123046875,2.006302
qa,0,http3,1,no_compression,0,conv-41::53,48788.0,163.83203125,5.5009765625,169.3330078125,9.358412
qa,0,http3,1,longllmlingua_2x,1,conv-42::67,21082.0,56.36328125,4.8359375,61.19921875,3.77324
qa,0,http3,1,longllmlingua_4x,2,conv-42::67,11514.0,38.810546875,10.5791015625,49.3896484375,2.130914
qa,0,http3,1,no_compression,0,conv-42::67,55634.0,157.8115234375,3.8828125,161.6943359375,10.774872
qa,0,http3,1,longllmlingua_2x,1,conv-44::98,23111.0,59.3359375,4.0947265625,63.4306640625,4.159435
qa,0,http3,1,longllmlingua_4x,2,conv-44::98,10627.0,33.8642578125,6.8876953125,40.751953125,2.251381
qa,0,http3,1,no_compression,0,conv-44::98,59428.0,175.361328125,4.912109375,180.2734375,12.030177
qa,0,http3,1,longllmlingua_2x,1,conv-47::150,21939.0,72.603515625,6.384765625,78.98828125,4.16829
qa,0,http3,1,longllmlingua_4x,2,conv-47::150,10303.0,35.9853515625,4.59375,40.5791015625,1.992984
qa,0,http3,1,no_compression,0,conv-47::150,47193.0,153.6708984375,5.0595703125,158.73046875,9.256244
qa,0,http3,1,longllmlingua_2x,1,conv-48::175,16530.0,51.744140625,7.3603515625,59.1044921875,3.213688
qa,0,http3,1,longllmlingua_4x,2,conv-48::175,10051.0,32.52734375,7.2705078125,39.7978515625,2.115649
qa,0,http3,1,no_compression,0,conv-48::175,48236.0,154.275390625,8.6181640625,162.8935546875,9.509675
qa,0,http3,1,longllmlingua_2x,1,conv-49::105,15437.0,52.578125,4.3798828125,56.9580078125,2.846997
qa,0,http3,1,longllmlingua_4x,2,conv-49::105,8407.0,29.841796875,4.2431640625,34.0849609375,1.644289
qa,0,http3,1,no_compression,0,conv-49::105,37386.0,121.2880859375,5.048828125,126.3369140625,7.081007
qa,0,http3,1,longllmlingua_2x,1,conv-50::135,20869.0,70.3935546875,3.3544921875,73.748046875,3.653423
qa,0,http3,1,longllmlingua_4x,2,conv-50::135,9517.0,35.3076171875,9.69921875,45.0068359375,2.242476
qa,0,http3,1,no_compression,0,conv-50::135,45757.0,150.1240234375,4.595703125,154.7197265625,8.574049
qa,0,http3,1,longllmlingua_2x,1,conv-50::4,21347.0,72.2529296875,4.91015625,77.1630859375,3.851775
qa,0,http3,1,longllmlingua_4x,2,conv-50::4,9937.0,35.16796875,4.61328125,39.78125,1.875827
qa,0,http3,1,no_compression,0,conv-50::4,45753.0,150.3779296875,5.431640625,155.8095703125,8.707684
qa,0,http3,1,longllmlingua_2x,1,conv-50::55,21472.0,73.2451171875,4.9853515625,78.23046875,3.866375
qa,0,http3,1,longllmlingua_4x,2,conv-50::55,10126.0,36.6640625,4.8466796875,41.5107421875,1.949322
qa,0,http3,1,no_compression,0,conv-50::55,45756.0,150.466796875,6.2421875,156.708984375,8.709399
qa,0,http3,1,longllmlingua_2x,1,conv-50::85,20606.0,69.3427734375,3.1181640625,72.4609375,3.619585
qa,0,http3,1,longllmlingua_4x,2,conv-50::85,9782.0,34.6865234375,2.4521484375,37.138671875,1.717147
qa,0,http3,1,no_compression,0,conv-50::85,45751.0,149.880859375,3.859375,153.740234375,8.73955
